product_idx,split
1,train
2,train
3,train
4,train
5,train
6,train
7,train
8,train
9,train
10,test
11,train
12,test
13,test
14,train
15,test
16,test
17,val
18,test
19,test
20,train
21,train
22,train
23,test
24,test
25,test
26,train
27,val
28,train
29,train
30,train
31,val
32,test
33,train
34,train
35,test
36,train
37,val
38,train
39,test
40,train
41,train
42,train
43,train
44,train
45,train
46,train
47,val
48,train
49,val
50,train
51,train
52,train
53,val
54,train
55,test
56,train
57,test
58,test
59,train
60,train
61,train
62,test
63,train
64,train
65,train
66,train
67,train
68,train
69,train
70,train
71,train
72,train
73,train
74,train
75,test
76,train
77,train
78,train
79,val
80,train
81,train
82,train
83,test
84,train
85,train
86,train
87,train
88,train
89,train
90,train
91,train
92,train
93,train
94,test
95,train
96,val
97,train
98,train
99,train
100,train
101,train
102,test
103,train
104,train
105,train
106,train
107,train
108,test
109,test
110,train
111,train
112,test
113,train
114,train
115,train
116,train
117,train
118,train
119,train
120,train
121,train
122,train
123,train
124,train
125,train
126,train
127,train
128,val
129,train
130,test
131,train
132,train
133,train
134,train
135,train
136,train
137,val
138,test
139,val
140,train
141,val
142,test
143,test
144,val
145,test
146,train
147,val
148,test
149,val
150,test
151,train
152,train
153,train
154,train
155,train
156,train
157,val
158,train
159,train
160,train
161,test
162,test
163,train
164,train
165,train
166,train
167,test
168,train
169,train
170,train
171,val
172,test
173,train
174,train
175,train
176,train
177,val
178,test
179,train
180,train
181,train
182,train
183,train
184,test
185,train
186,train
187,train
188,train
189,train
190,train
191,test
192,train
193,val
194,train
195,train
196,test
197,train
198,test
199,train
200,train
