32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .	1.0	were made up of	32.7 % of all households	individuals
32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .	1.0	had	15.7 %	someone living alone who was 65 years of age or older
A CEN forms an important but small part of a Local Strategic Partnership .	1.0	forms	A CEN	an important but small part of a Local Strategic Partnership
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	1.0	is	he	A Democrat
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	1.0	became	he	the youngest mayor in Pittsburgh's history
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	1.0	became the youngest mayor in Pittsburgh's history in	he	September 2006
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	1.0	became the youngest mayor in Pittsburgh's history at the age of	he	26
A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .	1.0	is located on	A cafeteria	the sixth floor
A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .	1.0	is located on	a chapel	the 14th floor
A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .	1.0	is located on	a study hall	the 15th floor
A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .	1.0	followed in	A common name, logo, and programming schedule	1982
A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .	1.0	was established between	the 'TV8' network	the three stations
A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .	1.0	was established in	the 'TV8' network	1982
A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .	1.0	changed to	the 'TV8' network	the 'Southern Cross Network'
A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .	1.0	changed	the 'TV8' network	seven years later
A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .	1.0	is	A cooling center	a temporary air-conditioned public space
A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .	1.0	is set up by	A cooling center	local authorities
A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .	1.0	is set up to deal with	A cooling center	the health effects of a heat wave
A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .	1.0	is `` prime '' if it	A manifold	can not be presented as a connected sum of more than one manifold
A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .	1.0	can not be presented as	A `` prime '' manifold	a connected sum of more than one manifold, none of which is the sphere of the same dimension
A motorcycle speedway long-track meeting , one of the few held in the UK , was staged at Ammanford .	1.0	was staged at	A motorcycle speedway long-track meeting	Ammanford
A motorcycle speedway long-track meeting , one of the few held in the UK , was staged at Ammanford .	1.0	is	A motorcycle speedway long-track meeting	one of the few held in the UK
A partial list of turbomachinery that may use one or more centrifugal compressors within the machine are listed here .	1.0	are listed	A partial list of turbomachinery	here
A partial list of turbomachinery that may use one or more centrifugal compressors within the machine are listed here .	1.0	may use	turbomachinery	one or more centrifugal compressors within the machine
A short distance to the east , NC 111 diverges on Greenwood Boulevard .	1.0	diverges on	NC 111	Greenwood Boulevard
A spectrum from a single FID has a low signal-to-noise ratio , but fortunately it improves readily with averaging of repeated acquisitions .	1.0	has	A spectrum from a single FID	a low signal-to-noise ratio
A spectrum from a single FID has a low signal-to-noise ratio , but fortunately it improves readily with averaging of repeated acquisitions .	1.0	improves readily with	it	averaging of repeated acquisitions
According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .	1.0	is not derived from, according to Samaritan tradition	the Samaritan ethnonym	the region of Samaria
According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .	1.0	is derived from, according to Samaritan tradition	the Samaritan ethnonym	the fact that they were the `` Guardians '' of the true Israelite religion
According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .	1.0	were	they	the `` Guardians '' of the true Israelite religion
According to the 2010 census , the population of the town is 2,310 .	1.0	is	the population of the town	2,310
According to the 2010 census , the population of the town is 2,310 .	1.0	is 2,310 according to	the population of the town	the 2010 census
According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .	1.0	is accused of defrauding	Gonzalez	the West Bronx Neighborhood Association Inc.
According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .	1.0	is	the West Bronx Neighborhood Association Inc.	a not-for-profit corporation
According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .	1.0	is accused of using funds donated to the organization in order to pay for	Gonzalez	over $ 37,000 in personal expenses
After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .	1.0	ceased	cable hauling	After 1895
After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .	1.0	pulled	locomotives	trains
After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .	1.0	pulled trains the whole length of	locomotives	the Victoria and Waterloo tunnels
After five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth .	1.0	found	the Colonials	a primitive , lush and vibrant new world
After five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth .	1.0	named it	the Colonials	Earth
After the battle , Battra rested in the Arctic Ocean , whereas Mothra retired to Infant Island , accompanied by the two Cosmos .	1.0	rested in	Battra	the Arctic Ocean
After the battle , Battra rested in the Arctic Ocean , whereas Mothra retired to Infant Island , accompanied by the two Cosmos .	1.0	retired to	Mothra	Infant Island
After the battle , Battra rested in the Arctic Ocean , whereas Mothra retired to Infant Island , accompanied by the two Cosmos .	1.0	was accompanied by	Mothra	the two Cosmos
After this point many of the republicans were arrested in Free State `` round ups '' when they had come out of hiding and returned home .	1.0	were arrested in	many of the republicans	Free State `` round ups ''
After this point many of the republicans were arrested in Free State `` round ups '' when they had come out of hiding and returned home .	1.0	had come out of	many of the republicans	hiding
After this point many of the republicans were arrested in Free State `` round ups '' when they had come out of hiding and returned home .	1.0	returned	many of the republicans	home
Although Knievel broke his arms , he was more distraught over a permanent injury his accident caused to the cameraman .	1.0	broke	Knievel	his arms
Although Knievel broke his arms , he was more distraught over a permanent injury his accident caused to the cameraman .	1.0	was more distraught over	he	a permanent injury
Although Knievel broke his arms , he was more distraught over a permanent injury his accident caused to the cameraman .	1.0	caused a permanent injury to	his accident	the cameraman
And ABS has formed a partnership with Habitat for Humanity to give a free Bible to each of its new homeowners in the United States .	1.0	has formed a partnership with	ABS	Habitat for Humanity
And ABS has formed a partnership with Habitat for Humanity to give a free Bible to each of its new homeowners in the United States .	1.0	to give a free Bible to	ABS	each of its new homeowners in the United States
And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .	1.0	was in	he	Ali 's army
And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .	1.0	was in Ali 's army in	he	the Battle of Jamal
And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .	1.0	escorted	Muhammad ibn Abu Bakr	Aisha
And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .	1.0	escorted Aisha back to	Muhammad ibn Abu Bakr	Madina
Andrea Bianco 's atlas of 1436 comprises ten leaves of vellum , measuring , in an 18th-century binding .	1.0	comprises	Andrea Bianco 's atlas of 1436	ten leaves of vellum
Apartment buildings , shops , medical clinics , cinemas etc. were built in close proximity to the MAZ plant , providing plant workers with local necessities .	1.0	were built in close proximity to	Apartment buildings , shops , medical clinics , cinemas etc.	the MAZ plant
Apartment buildings , shops , medical clinics , cinemas etc. were built in close proximity to the MAZ plant , providing plant workers with local necessities .	1.0	providing plant workers with	Apartment buildings , shops , medical clinics , cinemas etc.	local necessities
Applications can use this service to record activity for a production system while implementations of other OSIDs can use the service to record detailed data during development , debugging , or analyzing performance .	1.0	can use this service to record	Applications	activity for a production system
Applications can use this service to record activity for a production system while implementations of other OSIDs can use the service to record detailed data during development , debugging , or analyzing performance .	1.0	can use the service to record	implementations of other OSIDs	detailed data during development , debugging , or analyzing performance
Applying this technique facilitates the connection of the center of the foot with the lower abdomen .	1.0	facilitates	Applying this technique	the connection of the center of the foot with the lower abdomen
