experiment_id,run_id,prob_kb_version,iteration,subject,predicate,object,triple_key,observation_count,observation_confidences,functional_predicate,competitor_count,conservative_noisy_or_support,conflict_adjusted_final_confidence,threshold,above_threshold,previous_final_confidence,crossed_threshold_up,crossed_threshold_down,source_ids,source_types,provenance,gold_label,kb_size,status
DEC003_PRODUCT_V2,train_kb,conservative_noisy_or_conflict_adjusted,4,Auralex Smartphone Max 1,manufactured_by,Auralex,auralex smartphone max 1|manufactured_by|auralex,4,"[0.98, 0.95, 0.91, 0.9]",True,0,0.99213840234375,0.99213840234375,0.88,True,0.97581046875,False,False,"[""product_1"", ""product_1"", ""product_1"", ""product_1""]","[""structured"", ""unstructured"", ""unstructured"", ""unstructured""]","[""structured_row:Auralex Smartphone Max 1"", ""Auralex Smartphone Max 1 is manufactured by Auralex. It is a smartphone device. The display measures 14.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Fast charging is no. Noise cancellation: no."", ""Auralex Smartphone Max 1 is manufactured by Auralex. It is a smartphone device. The display measures 14.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Fast charging is no. Noise cancellation: no."", ""Auralex Smartphone Max 1 is manufactured by Auralex. It is a smartphone device. The display measures 14.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Fast charging is no. Noise cancellation: no.""]",1,657,candidate
DEC003_PRODUCT_V2,train_kb,conservative_noisy_or_conflict_adjusted,4,Auralex Smartphone Max 1,belongs_to_category,smartphone,auralex smartphone max 1|belongs_to_category|smartphone,1,[0.98],True,0,0.735,0.735,0.88,False,0.735,False,False,"[""product_1""]","[""structured""]","[""structured_row:Auralex Smartphone Max 1""]",1,657,candidate
DEC003_PRODUCT_V2,train_kb,conservative_noisy_or_conflict_adjusted,4,Auralex Smartphone Max 1,has_price_usd,249,auralex smartphone max 1|has_price_usd|249,1,[0.98],True,0,0.735,0.735,0.88,False,0.735,False,False,"[""product_1""]","[""structured""]","[""structured_row:Auralex Smartphone Max 1""]",0,657,candidate
DEC003_PRODUCT_V2,train_kb,conservative_noisy_or_conflict_adjusted,4,Auralex Smartphone Max 1,has_screen_size_inch,14.0,auralex smartphone max 1|has_screen_size_inch|14.0,10,"[0.98, 0.95, 0.91, 0.92, 0.993, 0.993, 0.993, 0.9, 0.95, 0.92]",True,0,0.9999963878206749,0.9999963878206749,0.88,True,0.9998752942729495,False,False,"[""product_1"", ""product_1"", ""product_1"", ""product_19"", ""product_1"", ""product_19"", ""product_44"", ""product_1"", ""product_22"", ""product_32""]","[""structured"", ""unstructured"", ""unstructured"", ""unstructured"", ""unstructured"", ""unstructured"", ""unstructured"", ""unstructured"", ""unstructured"", ""unstructured""]","[""structured_row:Auralex Smartphone Max 1"", ""Auralex Smartphone Max 1 is manufactured by Auralex. It is a smartphone device. The display measures 14.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Fast charging is no. Noise cancellation: no."", ""Auralex Smartphone Max 1 is manufactured by Auralex. It is a smartphone device. The display measures 14.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Fast charging is no. Noise cancellation: no."", ""Priced at 299 USD. The display measures 10.9 inches. Comes with 8GB of RAM. Weighs approximately 1.45kg. Available in blue. Targeted at the EU market. Fast charging is no."", ""Auralex Smartphone Max 1 is manufactured by Auralex. It is a smartphone device. The display measures 14.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Fast charging is no. Noise cancellation: no."", ""Priced at 299 USD. The display measures 10.9 inches. Comes with 8GB of RAM. Weighs approximately 1.45kg. Available in blue. Targeted at the EU market. Fast charging is no."", ""It is a headphones device. Priced at 249 USD. The display measures 11.0 inches. Comes with 12GB of RAM. Built with plastic construction. Targeted at the Global market. Fast charging is yes."", ""Auralex Smartphone Max 1 is manufactured by Auralex. It is a smartphone device. The display measures 14.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Fast charging is no. Noise cancellation: no."", ""Priced at 299 USD. The display measures 15.6 inches. Comes with 6GB of RAM. Battery lasts up to 8 hours. Targeted at the US market. Fast charging is no. Noise cancellation: no."", ""It is a smartphone device. The display measures 11.0 inches. Battery lasts up to 12 hours. Weighs approximately 1.8kg. Available in white. Built with plastic construction. Fast charging is no.""]",1,657,candidate
DEC003_PRODUCT_V2,train_kb,conservative_noisy_or_conflict_adjusted,4,Auralex Smartphone Max 1,has_ram_gb,32,auralex smartphone max 1|has_ram_gb|32,10,"[0.98, 0.95, 0.91, 0.92, 0.993, 0.993, 0.993, 0.9, 0.95, 0.91]",True,0,0.9999963004292396,0.9999963004292396,0.88,True,0.9998752942729495,False,False,"[""product_1"", ""product_1"", ""product_1"", ""product_19"", ""product_1"", ""product_19"", ""product_44"", ""product_1"", ""product_22"", ""product_32""]","[""structured"", ""unstructured"", ""unstructured"", ""unstructured"", ""unstructured"", ""unstructured"", ""unstructured"", ""unstructured"", ""unstructured"", ""unstructured""]","[""structured_row:Auralex Smartphone Max 1"", ""Auralex Smartphone Max 1 is manufactured by Auralex. It is a smartphone device. The display measures 14.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Fast charging is no. Noise cancellation: no."", ""Auralex Smartphone Max 1 is manufactured by Auralex. It is a smartphone device. The display measures 14.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Fast charging is no. Noise cancellation: no."", ""Priced at 299 USD. The display measures 10.9 inches. Comes with 8GB of RAM. Weighs approximately 1.45kg. Available in blue. Targeted at the EU market. Fast charging is no."", ""Auralex Smartphone Max 1 is manufactured by Auralex. It is a smartphone device. The display measures 14.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Fast charging is no. Noise cancellation: no."", ""Priced at 299 USD. The display measures 10.9 inches. Comes with 8GB of RAM. Weighs approximately 1.45kg. Available in blue. Targeted at the EU market. Fast charging is no."", ""It is a headphones device. Priced at 249 USD. The display measures 11.0 inches. Comes with 12GB of RAM. Built with plastic construction. Targeted at the Global market. Fast charging is yes."", ""Auralex Smartphone Max 1 is manufactured by Auralex. It is a smartphone device. The display measures 14.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Fast charging is no. Noise cancellation: no."", ""Priced at 299 USD. The display measures 15.6 inches. Comes with 6GB of RAM. Battery lasts up to 8 hours. Targeted at the US market. Fast charging is no. Noise cancellation: no."", ""It is a smartphone device. The display measures 11.0 inches. Battery lasts up to 12 hours. Weighs approximately 1.8kg. Available in white. Built with plastic construction. Fast charging is no.""]",1,657,candidate
DEC003_PRODUCT_V2,train_kb,conservative_noisy_or_conflict_adjusted,4,Auralex Smartphone Max 1,has_storage_gb,1024,auralex smartphone max 1|has_storage_gb|1024,1,[0.98],True,0,0.735,0.735,0.88,False,0.735,False,False,"[""product_1""]","[""structured""]","[""structured_row:Auralex Smartphone Max 1""]",0,657,candidate
DEC003_PRODUCT_V2,train_kb,conservative_noisy_or_conflict_adjusted,4,Auralex Smartphone Max 1,has_battery_life_hours,8,auralex smartphone max 1|has_battery_life_hours|8,1,[0.98],True,0,0.735,0.735,0.88,False,0.735,False,False,"[""product_1""]","[""structured""]","[""structured_row:Auralex Smartphone Max 1""]",0,657,candidate
DEC003_PRODUCT_V2,train_kb,conservative_noisy_or_conflict_adjusted,4,Auralex Smartphone Max 1,has_weight_kg,1.2,auralex smartphone max 1|has_weight_kg|1.2,1,[0.98],True,0,0.735,0.735,0.88,False,0.735,False,False,"[""product_1""]","[""structured""]","[""structured_row:Auralex Smartphone Max 1""]",0,657,candidate
DEC003_PRODUCT_V2,train_kb,conservative_noisy_or_conflict_adjusted,4,Auralex Smartphone Max 1,has_color,blue,auralex smartphone max 1|has_color|blue,1,[0.98],False,0,0.735,0.735,0.88,False,0.735,False,False,"[""product_1""]","[""structured""]","[""structured_row:Auralex Smartphone Max 1""]",0,657,candidate
DEC003_PRODUCT_V2,train_kb,conservative_noisy_or_conflict_adjusted,4,Auralex Smartphone Max 1,made_of_material,aluminum,auralex smartphone max 1|made_of_material|aluminum,10,"[0.98, 0.95, 0.91, 0.92, 0.993, 0.993, 0.993, 0.9, 0.95, 0.93]",True,0,0.9999964752121102,0.9999964752121102,0.88,True,0.9998752942729495,False,False,"[""product_1"", ""product_1"", ""product_1"", ""product_19"", ""product_1"", ""product_19"", ""product_44"", ""product_1"", ""product_22"", ""product_32""]","[""structured"", ""unstructured"", ""unstructured"", ""unstructured"", ""unstructured"", ""unstructured"", ""unstructured"", ""unstructured"", ""unstructured"", ""unstructured""]","[""structured_row:Auralex Smartphone Max 1"", ""Auralex Smartphone Max 1 is manufactured by Auralex. It is a smartphone device. The display measures 14.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Fast charging is no. Noise cancellation: no."", ""Auralex Smartphone Max 1 is manufactured by Auralex. It is a smartphone device. The display measures 14.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Fast charging is no. Noise cancellation: no."", ""Priced at 299 USD. The display measures 10.9 inches. Comes with 8GB of RAM. Weighs approximately 1.45kg. Available in blue. Targeted at the EU market. Fast charging is no."", ""Auralex Smartphone Max 1 is manufactured by Auralex. It is a smartphone device. The display measures 14.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Fast charging is no. Noise cancellation: no."", ""Priced at 299 USD. The display measures 10.9 inches. Comes with 8GB of RAM. Weighs approximately 1.45kg. Available in blue. Targeted at the EU market. Fast charging is no."", ""It is a headphones device. Priced at 249 USD. The display measures 11.0 inches. Comes with 12GB of RAM. Built with plastic construction. Targeted at the Global market. Fast charging is yes."", ""Auralex Smartphone Max 1 is manufactured by Auralex. It is a smartphone device. The display measures 14.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Fast charging is no. Noise cancellation: no."", ""Priced at 299 USD. The display measures 15.6 inches. Comes with 6GB of RAM. Battery lasts up to 8 hours. Targeted at the US market. Fast charging is no. Noise cancellation: no."", ""It is a smartphone device. The display measures 11.0 inches. Battery lasts up to 12 hours. Weighs approximately 1.8kg. Available in white. Built with plastic construction. Fast charging is no.""]",1,657,candidate
