bin_lower,bin_upper,n,mean_confidence,empirical_positive_rate,abs_gap
0.0,0.1,0,,,
0.1,0.2,15,0.16854669941874995,0.0,0.16854669941874995
0.2,0.3,21,0.22840386904761906,0.0,0.22840386904761906
0.3,0.4,43,0.33406168004335224,0.06976744186046512,0.2642942381828871
0.4,0.5,28,0.4714732802109117,0.17857142857142858,0.2929018516394831
0.5,0.6,0,,,
0.6,0.7,68,0.6580147058823528,0.0,0.6580147058823528
0.7,0.8,352,0.7346846590909092,0.39204545454545453,0.34263920454545466
0.8,0.9,16,0.888521484375,0.0,0.888521484375
0.9,1.0,114,0.9775921587678089,0.868421052631579,0.10917110613622993
