config,seed,final_iter_f1,held_out_test_f1,n_calls,n_errors,cost_usd
full,42,0.1984732824427481,0.34920634920634924,59,3,0.0020609880000000006
full,43,0.4473684210526316,0.8163265306122449,59,7,0.0017203200000000002
full,44,0.45679012345679015,0.0,59,6,0.001927952
full,45,0.5769230769230769,0.0,59,4,0.0009636
full,46,0.4370860927152318,0.2916666666666667,59,5,0.0010239519999999996
without_feedback,42,0.5793103448275861,0.52,59,14,0.0009407399999999998
without_feedback,43,0.2714285714285714,0.3333333333333333,59,9,0.000957112
without_feedback,44,0.1751824817518248,0.7169811320754718,59,4,0.00094017
without_feedback,45,0.08771929824561403,0.2926829268292683,59,7,0.00085021
without_feedback,46,0.3252032520325204,0.30434782608695654,59,4,0.0008616899999999997
without_prob_kb,42,0.3134328358208955,0.0,59,9,0.0010211500000000002
without_prob_kb,43,0.5454545454545454,0.7636363636363638,59,6,0.00175009
without_prob_kb,44,0.25,0.5714285714285715,59,15,0.0010951539999999999
without_prob_kb,45,0.375,0.35000000000000003,59,11,0.0010407320000000004
without_prob_kb,46,0.23437499999999997,0.509090909090909,59,11,0.0010086700000000004
structured_only,42,,,0,0,0.0
structured_only,43,,,0,0,0.0
structured_only,44,,,0,0,0.0
structured_only,45,,,0,0,0.0
structured_only,46,,,0,0,0.0
unstructured_only,42,0.40268456375838924,,52,3,0.0011287979999999999
unstructured_only,43,0.49681528662420377,,52,4,0.00101809
unstructured_only,44,0.3111111111111111,,52,1,0.00112157
unstructured_only,45,0.5454545454545454,,52,8,0.00095487
unstructured_only,46,0.5298013245033112,,52,4,0.0010419000000000003
