experiment_id,run_id,prob_kb_version,subject,predicate,object,triple_key,observation_confidence,source_id,source_type,provenance,extractor_version,iteration
DEC005_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,TechNova Smartphone Pro 1,has_ram_gb,8,technova smartphone pro 1|has_ram_gb|8,0.91,product_18,unstructured,Priced at 199 USD. The display measures 6.1 inches. Comes with 4GB of RAM. Offers 64GB of internal storage. Available in silver. Built with aluminum construction. Fast charging is no.,unstructured,3
DEC005_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,The display measures 15.6 inches.,has_screen_size_inch,15.6,the display measures 15.6 inches.|has_screen_size_inch|15.6,0.8,product_19,unstructured,The display measures 15.6 inches. Offers 1024GB of internal storage. Battery lasts up to 10 hours. Available in silver. Targeted at the Global market. Fast charging is no. Noise cancellation: no.,unstructured,3
DEC005_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,The display measures 15.6 inches.,has_screen_size_inch,15.6,the display measures 15.6 inches.|has_screen_size_inch|15.6,0.8,product_19,unstructured,The display measures 15.6 inches. Offers 1024GB of internal storage. Battery lasts up to 10 hours. Available in silver. Targeted at the Global market. Fast charging is no. Noise cancellation: no.,unstructured,3
DEC005_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,The display measures 15.6 inches.,has_storage_gb,1024,the display measures 15.6 inches.|has_storage_gb|1024,0.8,product_19,unstructured,The display measures 15.6 inches. Offers 1024GB of internal storage. Battery lasts up to 10 hours. Available in silver. Targeted at the Global market. Fast charging is no. Noise cancellation: no.,unstructured,3
DEC005_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,The display measures 15.6 inches.,has_battery_life_hours,10,the display measures 15.6 inches.|has_battery_life_hours|10,0.8,product_19,unstructured,The display measures 15.6 inches. Offers 1024GB of internal storage. Battery lasts up to 10 hours. Available in silver. Targeted at the Global market. Fast charging is no. Noise cancellation: no.,unstructured,3
DEC005_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,Available in silver.,has_color,silver,available in silver.|has_color|silver,0.8,product_19,unstructured,The display measures 15.6 inches. Offers 1024GB of internal storage. Battery lasts up to 10 hours. Available in silver. Targeted at the Global market. Fast charging is no. Noise cancellation: no.,unstructured,3
DEC005_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,Targeted at the Global market.,target_market_region,Global,targeted at the global market.|target_market_region|global,0.8,product_19,unstructured,The display measures 15.6 inches. Offers 1024GB of internal storage. Battery lasts up to 10 hours. Available in silver. Targeted at the Global market. Fast charging is no. Noise cancellation: no.,unstructured,3
DEC005_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,Fast charging is no.,supports_fast_charging,no,fast charging is no.|supports_fast_charging|no,0.8,product_19,unstructured,The display measures 15.6 inches. Offers 1024GB of internal storage. Battery lasts up to 10 hours. Available in silver. Targeted at the Global market. Fast charging is no. Noise cancellation: no.,unstructured,3
DEC005_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,Noise cancellation: no.,has_noise_cancellation,no,noise cancellation: no.|has_noise_cancellation|no,0.8,product_19,unstructured,The display measures 15.6 inches. Offers 1024GB of internal storage. Battery lasts up to 10 hours. Available in silver. Targeted at the Global market. Fast charging is no. Noise cancellation: no.,unstructured,3
DEC005_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,It,has_price_usd,299,it|has_price_usd|299,0.8,product_20,unstructured,It is a laptop device. Priced at 299 USD. The display measures 11.0 inches. Comes with 32GB of RAM. Offers 256GB of internal storage. Available in silver. Fast charging is no.,unstructured,3
DEC005_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,It,has_screen_size_inch,11.0,it|has_screen_size_inch|11.0,0.8,product_20,unstructured,It is a laptop device. Priced at 299 USD. The display measures 11.0 inches. Comes with 32GB of RAM. Offers 256GB of internal storage. Available in silver. Fast charging is no.,unstructured,3
DEC005_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,It,has_ram_gb,32,it|has_ram_gb|32,0.8,product_20,unstructured,It is a laptop device. Priced at 299 USD. The display measures 11.0 inches. Comes with 32GB of RAM. Offers 256GB of internal storage. Available in silver. Fast charging is no.,unstructured,3
DEC005_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,It,has_storage_gb,256,it|has_storage_gb|256,0.8,product_20,unstructured,It is a laptop device. Priced at 299 USD. The display measures 11.0 inches. Comes with 32GB of RAM. Offers 256GB of internal storage. Available in silver. Fast charging is no.,unstructured,3
DEC005_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,It,has_color,silver,it|has_color|silver,0.8,product_20,unstructured,It is a laptop device. Priced at 299 USD. The display measures 11.0 inches. Comes with 32GB of RAM. Offers 256GB of internal storage. Available in silver. Fast charging is no.,unstructured,3
DEC005_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,It,supports_fast_charging,no,it|supports_fast_charging|no,0.8,product_20,unstructured,It is a laptop device. Priced at 299 USD. The display measures 11.0 inches. Comes with 32GB of RAM. Offers 256GB of internal storage. Available in silver. Fast charging is no.,unstructured,3
