experiment_id,run_id,prob_kb_version,subject,predicate,object,triple_key,observation_confidence,source_id,source_type,provenance,extractor_version,iteration
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,Auralex Smartphone Max 1,manufactured_by,Auralex,auralex smartphone max 1|manufactured_by|auralex,0.95,product_1,unstructured,Auralex Smartphone Max 1 is manufactured by Auralex. It is a smartphone device. The display measures 14.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Fast charging is no. Noise cancellation: no.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,Auralex Smartphone Max 1,has_screen_size_inch,14.0,auralex smartphone max 1|has_screen_size_inch|14.0,0.95,product_1,unstructured,Auralex Smartphone Max 1 is manufactured by Auralex. It is a smartphone device. The display measures 14.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Fast charging is no. Noise cancellation: no.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,Auralex Smartphone Max 1,has_ram_gb,32,auralex smartphone max 1|has_ram_gb|32,0.95,product_1,unstructured,Auralex Smartphone Max 1 is manufactured by Auralex. It is a smartphone device. The display measures 14.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Fast charging is no. Noise cancellation: no.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,Auralex Smartphone Max 1,made_of_material,aluminum,auralex smartphone max 1|made_of_material|aluminum,0.95,product_1,unstructured,Auralex Smartphone Max 1 is manufactured by Auralex. It is a smartphone device. The display measures 14.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Fast charging is no. Noise cancellation: no.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,Auralex Smartphone Max 1,supports_fast_charging,no,auralex smartphone max 1|supports_fast_charging|no,0.95,product_1,unstructured,Auralex Smartphone Max 1 is manufactured by Auralex. It is a smartphone device. The display measures 14.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Fast charging is no. Noise cancellation: no.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,Auralex Smartphone Max 1,has_noise_cancellation,no,auralex smartphone max 1|has_noise_cancellation|no,0.95,product_1,unstructured,Auralex Smartphone Max 1 is manufactured by Auralex. It is a smartphone device. The display measures 14.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Fast charging is no. Noise cancellation: no.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,laptop device,has_price_usd,499,laptop device|has_price_usd|499,0.95,product_2,unstructured,It is a laptop device. Priced at 499 USD. The display measures 15.6 inches. Comes with 4GB of RAM. Offers 128GB of internal storage. Available in green. Targeted at the US market.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,laptop device,has_screen_size_inch,15.6,laptop device|has_screen_size_inch|15.6,0.95,product_2,unstructured,It is a laptop device. Priced at 499 USD. The display measures 15.6 inches. Comes with 4GB of RAM. Offers 128GB of internal storage. Available in green. Targeted at the US market.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,laptop device,has_ram_gb,4GB,laptop device|has_ram_gb|4gb,0.95,product_2,unstructured,It is a laptop device. Priced at 499 USD. The display measures 15.6 inches. Comes with 4GB of RAM. Offers 128GB of internal storage. Available in green. Targeted at the US market.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,laptop device,has_storage_gb,128GB,laptop device|has_storage_gb|128gb,0.95,product_2,unstructured,It is a laptop device. Priced at 499 USD. The display measures 15.6 inches. Comes with 4GB of RAM. Offers 128GB of internal storage. Available in green. Targeted at the US market.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,laptop device,has_color,green,laptop device|has_color|green,0.95,product_2,unstructured,It is a laptop device. Priced at 499 USD. The display measures 15.6 inches. Comes with 4GB of RAM. Offers 128GB of internal storage. Available in green. Targeted at the US market.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,laptop device,target_market_region,US,laptop device|target_market_region|us,0.95,product_2,unstructured,It is a laptop device. Priced at 499 USD. The display measures 15.6 inches. Comes with 4GB of RAM. Offers 128GB of internal storage. Available in green. Targeted at the US market.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,It is a laptop device,belongs_to_category,laptop,it is a laptop device|belongs_to_category|laptop,0.95,product_4,unstructured,It is a laptop device. Priced at 499 USD. The display measures 11.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Targeted at the EU market. Noise cancellation: no.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,It is a laptop device,has_price_usd,499,it is a laptop device|has_price_usd|499,0.95,product_4,unstructured,It is a laptop device. Priced at 499 USD. The display measures 11.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Targeted at the EU market. Noise cancellation: no.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,It is a laptop device,has_screen_size_inch,11.0,it is a laptop device|has_screen_size_inch|11.0,0.95,product_4,unstructured,It is a laptop device. Priced at 499 USD. The display measures 11.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Targeted at the EU market. Noise cancellation: no.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,It is a laptop device,has_ram_gb,32,it is a laptop device|has_ram_gb|32,0.95,product_4,unstructured,It is a laptop device. Priced at 499 USD. The display measures 11.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Targeted at the EU market. Noise cancellation: no.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,It is a laptop device,made_of_material,aluminum,it is a laptop device|made_of_material|aluminum,0.95,product_4,unstructured,It is a laptop device. Priced at 499 USD. The display measures 11.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Targeted at the EU market. Noise cancellation: no.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,It is a laptop device,target_market_region,EU,it is a laptop device|target_market_region|eu,0.95,product_4,unstructured,It is a laptop device. Priced at 499 USD. The display measures 11.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Targeted at the EU market. Noise cancellation: no.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,It is a laptop device,has_noise_cancellation,no,it is a laptop device|has_noise_cancellation|no,0.95,product_4,unstructured,It is a laptop device. Priced at 499 USD. The display measures 11.0 inches. Comes with 32GB of RAM. Built with aluminum construction. Targeted at the EU market. Noise cancellation: no.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,TechNova Smartphone Max 1,has_screen_size_inch,6.7,technova smartphone max 1|has_screen_size_inch|6.7,0.95,product_5,unstructured,The display measures 6.7 inches. Offers 256GB of internal storage. Battery lasts up to 14 hours. Weighs approximately 0.42kg. Built with carbon fiber construction. Targeted at the US market. Noise cancellation: no.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,TechNova Smartphone Max 1,has_storage_gb,256,technova smartphone max 1|has_storage_gb|256,0.95,product_5,unstructured,The display measures 6.7 inches. Offers 256GB of internal storage. Battery lasts up to 14 hours. Weighs approximately 0.42kg. Built with carbon fiber construction. Targeted at the US market. Noise cancellation: no.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,TechNova Smartphone Max 1,has_battery_life_hours,14,technova smartphone max 1|has_battery_life_hours|14,0.95,product_5,unstructured,The display measures 6.7 inches. Offers 256GB of internal storage. Battery lasts up to 14 hours. Weighs approximately 0.42kg. Built with carbon fiber construction. Targeted at the US market. Noise cancellation: no.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,TechNova Smartphone Max 1,has_weight_kg,0.42,technova smartphone max 1|has_weight_kg|0.42,0.95,product_5,unstructured,The display measures 6.7 inches. Offers 256GB of internal storage. Battery lasts up to 14 hours. Weighs approximately 0.42kg. Built with carbon fiber construction. Targeted at the US market. Noise cancellation: no.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,TechNova Smartphone Max 1,made_of_material,carbon fiber,technova smartphone max 1|made_of_material|carbon fiber,0.95,product_5,unstructured,The display measures 6.7 inches. Offers 256GB of internal storage. Battery lasts up to 14 hours. Weighs approximately 0.42kg. Built with carbon fiber construction. Targeted at the US market. Noise cancellation: no.,unstructured,5
DEC019_CLOSEDLOOP,control,conservative_noisy_or_conflict_adjusted,TechNova Smartphone Max 1,target_market_region,US,technova smartphone max 1|target_market_region|us,0.95,product_5,unstructured,The display measures 6.7 inches. Offers 256GB of internal storage. Battery lasts up to 14 hours. Weighs approximately 0.42kg. Built with carbon fiber construction. Targeted at the US market. Noise cancellation: no.,unstructured,5
