experiment_id,run_id,prob_kb_version,subject,predicate,object,triple_key,observation_confidence,source_id,source_type,provenance,extractor_version,iteration
dec020_docred_pilot,doc_02,v2,Kurt Tucholsky,date of birth,9 January 1890,kurt tucholsky|date of birth|9 january 1890,1.0,Kurt Tucholsky::sent0,docred_unstructured,"Kurt Tucholsky (; 9 January 1890 – 21 December 1935 ) was a German - Jewish journalist , satirist , and writer .",docred_unstructured,1
dec020_docred_pilot,doc_02,v2,Kurt Tucholsky,date of death,21 December 1935,kurt tucholsky|date of death|21 december 1935,1.0,Kurt Tucholsky::sent0,docred_unstructured,"Kurt Tucholsky (; 9 January 1890 – 21 December 1935 ) was a German - Jewish journalist , satirist , and writer .",docred_unstructured,1
dec020_docred_pilot,doc_02,v2,Kurt Tucholsky,country of citizenship,Germany,kurt tucholsky|country of citizenship|germany,1.0,Kurt Tucholsky::sent0,docred_unstructured,"Kurt Tucholsky (; 9 January 1890 – 21 December 1935 ) was a German - Jewish journalist , satirist , and writer .",docred_unstructured,1
dec020_docred_pilot,doc_02,v2,Kurt Tucholsky,ethnic group,Jewish,kurt tucholsky|ethnic group|jewish,1.0,Kurt Tucholsky::sent0,docred_unstructured,"Kurt Tucholsky (; 9 January 1890 – 21 December 1935 ) was a German - Jewish journalist , satirist , and writer .",docred_unstructured,1
dec020_docred_pilot,doc_02,v2,Kurt Tucholsky,nationality,German,kurt tucholsky|nationality|german,1.0,Kurt Tucholsky::sent0,docred_unstructured,"Kurt Tucholsky (; 9 January 1890 – 21 December 1935 ) was a German - Jewish journalist , satirist , and writer .",docred_unstructured,1
dec020_docred_pilot,doc_02,v2,Kurt Tucholsky,profession,journalist,kurt tucholsky|profession|journalist,1.0,Kurt Tucholsky::sent0,docred_unstructured,"Kurt Tucholsky (; 9 January 1890 – 21 December 1935 ) was a German - Jewish journalist , satirist , and writer .",docred_unstructured,1
dec020_docred_pilot,doc_02,v2,Kurt Tucholsky,profession,satirist,kurt tucholsky|profession|satirist,1.0,Kurt Tucholsky::sent0,docred_unstructured,"Kurt Tucholsky (; 9 January 1890 – 21 December 1935 ) was a German - Jewish journalist , satirist , and writer .",docred_unstructured,1
dec020_docred_pilot,doc_02,v2,Kurt Tucholsky,profession,writer,kurt tucholsky|profession|writer,1.0,Kurt Tucholsky::sent0,docred_unstructured,"Kurt Tucholsky (; 9 January 1890 – 21 December 1935 ) was a German - Jewish journalist , satirist , and writer .",docred_unstructured,1
dec020_docred_pilot,doc_02,v2,Berlin - Moabit,located in or next to body of water,Paris,berlin - moabit|located in or next to body of water|paris,1.0,Kurt Tucholsky::sent2,docred_unstructured,"Born in Berlin - Moabit , he moved to Paris in 1924 and then to Sweden in 1929 .",docred_unstructured,1
dec020_docred_pilot,doc_02,v2,Berlin - Moabit,located in or next to body of water,Sweden,berlin - moabit|located in or next to body of water|sweden,1.0,Kurt Tucholsky::sent2,docred_unstructured,"Born in Berlin - Moabit , he moved to Paris in 1924 and then to Sweden in 1929 .",docred_unstructured,1
dec020_docred_pilot,doc_02,v2,Heinrich Heine,in the tradition of,Heinrich Heine,heinrich heine|in the tradition of|heinrich heine,1.0,Kurt Tucholsky::sent4,docred_unstructured,As a politically engaged journalist and temporary co - editor of the weekly magazine Die Weltbühne he proved himself to be a social critic in the tradition of Heinrich Heine .,docred_unstructured,1
dec020_docred_pilot,doc_02,v2,Tucholsky,was,one of the most important journalists,tucholsky|was|one of the most important journalists,1.0,Kurt Tucholsky::sent3,docred_unstructured,Tucholsky was one of the most important journalists of the Weimar Republic .,docred_unstructured,1
dec020_docred_pilot,doc_02,v2,he,author,works,he|author|works,1.0,Kurt Tucholsky::sent8,docred_unstructured,"In May of that year he was among the authors whose works were banned as "" un - German "" , and burned ; he was also among the first authors and intellectuals whose German citizenship was revoked .",docred_unstructured,1
dec020_docred_pilot,doc_02,v2,he,intellectual,German citizenship,he|intellectual|german citizenship,1.0,Kurt Tucholsky::sent8,docred_unstructured,"In May of that year he was among the authors whose works were banned as "" un - German "" , and burned ; he was also among the first authors and intellectuals whose German citizenship was revoked .",docred_unstructured,1
dec020_docred_pilot,doc_02,v2,he,citizenship,revoked,he|citizenship|revoked,1.0,Kurt Tucholsky::sent8,docred_unstructured,"In May of that year he was among the authors whose works were banned as "" un - German "" , and burned ; he was also among the first authors and intellectuals whose German citizenship was revoked .",docred_unstructured,1
dec020_docred_pilot,doc_02,v2,he,citizenship,German,he|citizenship|german,1.0,Kurt Tucholsky::sent8,docred_unstructured,"In May of that year he was among the authors whose works were banned as "" un - German "" , and burned ; he was also among the first authors and intellectuals whose German citizenship was revoked .",docred_unstructured,1
