config,seed,final_iter_f1,held_out_test_f1,n_calls,n_errors,cost_usd
full,42,0.2752808988764045,0.1848739495798319,155,15,0.0025653299999999993
full,43,0.49222797927461137,0.44067796610169496,155,19,0.002739495999999998
full,44,0.27956989247311825,0.3294117647058824,155,14,0.0028859490000000005
full,45,0.5273159144893111,0.3333333333333333,155,14,0.003776114999999999
full,46,0.4607046070460704,0.43697478991596644,155,11,0.003368301999999999
without_feedback,42,0.3204419889502763,0.10101010101010101,155,19,0.002475760000000001
without_feedback,43,0.30815709969788524,0.4814814814814815,155,21,0.00242544
without_feedback,44,0.4147727272727273,0.5208333333333334,155,15,0.0024481999999999993
without_feedback,45,0.3179190751445087,0.13725490196078433,155,27,0.002354219999999999
without_feedback,46,0.3025210084033613,0.2616822429906542,155,17,0.002740229
without_prob_kb,42,0.3415841584158416,0.22429906542056074,155,26,0.0030060899999999995
without_prob_kb,43,0.6103286384976526,0.7022900763358779,155,20,0.0038190660000000016
without_prob_kb,44,0.3719676549865229,0.3762376237623762,155,16,0.0033524599999999976
without_prob_kb,45,0.2696629213483146,0.22641509433962265,155,20,0.0027954010000000003
without_prob_kb,46,0.28720626631853785,0.3620689655172414,155,18,0.002841405999999999
structured_only,42,,,0,0,0.0
structured_only,43,,,0,0,0.0
structured_only,44,,,0,0,0.0
structured_only,45,,,0,0,0.0
structured_only,46,,,0,0,0.0
unstructured_only,42,0.38916256157635465,,140,14,0.0033114600000000004
unstructured_only,43,0.48989898989898994,,140,16,0.0030384490000000017
unstructured_only,44,0.5841121495327103,,140,11,0.003653436999999998
unstructured_only,45,0.40102827763496146,,140,26,0.002925552999999999
unstructured_only,46,0.37499999999999994,,140,15,0.002932260999999998
