experiment_id,run_id,prob_kb_version,iteration,subject,predicate,object,triple_key,observation_count,observation_confidences,functional_predicate,competitor_count,conservative_noisy_or_support,conflict_adjusted_final_confidence,threshold,above_threshold,previous_final_confidence,crossed_threshold_up,crossed_threshold_down,source_ids,source_types,provenance,gold_label,kb_size,status
DEC023_UNSTRUCTURED_ONLY,train_kb,conservative_noisy_or_conflict_adjusted,3,tablet device,has_price_usd,899,tablet device|has_price_usd|899,1,[0.85],True,0,0.6375,0.6375,0.88,False,0.6375,False,False,"[""product_1""]","[""unstructured""]","[""It is a tablet device. Priced at 899 USD. Comes with 8GB of RAM. Battery lasts up to 10 hours. Weighs approximately 0.18kg. Available in green. Targeted at the EU market.""]",0,252,candidate
DEC023_UNSTRUCTURED_ONLY,train_kb,conservative_noisy_or_conflict_adjusted,3,tablet device,has_ram_gb,8,tablet device|has_ram_gb|8,1,[0.92],True,0,0.6900000000000001,0.6900000000000001,0.88,False,0.6900000000000001,False,False,"[""product_1""]","[""unstructured""]","[""It is a tablet device. Priced at 899 USD. Comes with 8GB of RAM. Battery lasts up to 10 hours. Weighs approximately 0.18kg. Available in green. Targeted at the EU market.""]",0,252,candidate
DEC023_UNSTRUCTURED_ONLY,train_kb,conservative_noisy_or_conflict_adjusted,3,tablet device,has_battery_life_hours,10,tablet device|has_battery_life_hours|10,1,[0.88],True,0,0.66,0.66,0.88,False,0.66,False,False,"[""product_1""]","[""unstructured""]","[""It is a tablet device. Priced at 899 USD. Comes with 8GB of RAM. Battery lasts up to 10 hours. Weighs approximately 0.18kg. Available in green. Targeted at the EU market.""]",0,252,candidate
DEC023_UNSTRUCTURED_ONLY,train_kb,conservative_noisy_or_conflict_adjusted,3,tablet device,has_weight_kg,0.18,tablet device|has_weight_kg|0.18,1,[0.9],True,0,0.675,0.675,0.88,False,0.675,False,False,"[""product_1""]","[""unstructured""]","[""It is a tablet device. Priced at 899 USD. Comes with 8GB of RAM. Battery lasts up to 10 hours. Weighs approximately 0.18kg. Available in green. Targeted at the EU market.""]",0,252,candidate
DEC023_UNSTRUCTURED_ONLY,train_kb,conservative_noisy_or_conflict_adjusted,3,tablet device,has_color,green,tablet device|has_color|green,1,[0.86],False,0,0.645,0.645,0.88,False,0.645,False,False,"[""product_1""]","[""unstructured""]","[""It is a tablet device. Priced at 899 USD. Comes with 8GB of RAM. Battery lasts up to 10 hours. Weighs approximately 0.18kg. Available in green. Targeted at the EU market.""]",0,252,candidate
DEC023_UNSTRUCTURED_ONLY,train_kb,conservative_noisy_or_conflict_adjusted,3,tablet device,target_market_region,EU,tablet device|target_market_region|eu,1,[0.89],True,0,0.6675,0.6675,0.88,False,0.6675,False,False,"[""product_1""]","[""unstructured""]","[""It is a tablet device. Priced at 899 USD. Comes with 8GB of RAM. Battery lasts up to 10 hours. Weighs approximately 0.18kg. Available in green. Targeted at the EU market.""]",0,252,candidate
DEC023_UNSTRUCTURED_ONLY,train_kb,conservative_noisy_or_conflict_adjusted,3,NeoTech Headphones Plus 2,manufactured_by,NeoTech,neotech headphones plus 2|manufactured_by|neotech,2,"[0.95, 0.9]",True,0,0.9065624999999999,0.9065624999999999,0.88,True,0.7124999999999999,True,False,"[""product_2"", ""product_2""]","[""unstructured"", ""unstructured""]","[""NeoTech Headphones Plus 2 is manufactured by NeoTech. It is a headphones device. Comes with 16GB of RAM. Offers 64GB of internal storage. Battery lasts up to 18 hours. Built with plastic construction. Targeted at the APAC market."", ""NeoTech Headphones Plus 2 is manufactured by NeoTech. It is a headphones device. Comes with 16GB of RAM. Offers 64GB of internal storage. Battery lasts up to 18 hours. Built with plastic construction. Targeted at the APAC market.""]",1,252,candidate
DEC023_UNSTRUCTURED_ONLY,train_kb,conservative_noisy_or_conflict_adjusted,3,NeoTech Headphones Plus 2,belongs_to_category,headphones device,neotech headphones plus 2|belongs_to_category|headphones device,1,[0.92],True,0,0.6900000000000001,0.6900000000000001,0.88,False,0.6900000000000001,False,False,"[""product_2""]","[""unstructured""]","[""NeoTech Headphones Plus 2 is manufactured by NeoTech. It is a headphones device. Comes with 16GB of RAM. Offers 64GB of internal storage. Battery lasts up to 18 hours. Built with plastic construction. Targeted at the APAC market.""]",0,252,candidate
DEC023_UNSTRUCTURED_ONLY,train_kb,conservative_noisy_or_conflict_adjusted,3,NeoTech Headphones Plus 2,has_ram_gb,16,neotech headphones plus 2|has_ram_gb|16,2,"[0.94, 0.9]",True,0,0.904125,0.904125,0.88,True,0.705,True,False,"[""product_2"", ""product_2""]","[""unstructured"", ""unstructured""]","[""NeoTech Headphones Plus 2 is manufactured by NeoTech. It is a headphones device. Comes with 16GB of RAM. Offers 64GB of internal storage. Battery lasts up to 18 hours. Built with plastic construction. Targeted at the APAC market."", ""NeoTech Headphones Plus 2 is manufactured by NeoTech. It is a headphones device. Comes with 16GB of RAM. Offers 64GB of internal storage. Battery lasts up to 18 hours. Built with plastic construction. Targeted at the APAC market.""]",1,252,candidate
DEC023_UNSTRUCTURED_ONLY,train_kb,conservative_noisy_or_conflict_adjusted,3,NeoTech Headphones Plus 2,has_storage_gb,64,neotech headphones plus 2|has_storage_gb|64,2,"[0.93, 0.9]",True,0,0.9016875,0.9016875,0.88,True,0.6975,True,False,"[""product_2"", ""product_2""]","[""unstructured"", ""unstructured""]","[""NeoTech Headphones Plus 2 is manufactured by NeoTech. It is a headphones device. Comes with 16GB of RAM. Offers 64GB of internal storage. Battery lasts up to 18 hours. Built with plastic construction. Targeted at the APAC market."", ""NeoTech Headphones Plus 2 is manufactured by NeoTech. It is a headphones device. Comes with 16GB of RAM. Offers 64GB of internal storage. Battery lasts up to 18 hours. Built with plastic construction. Targeted at the APAC market.""]",1,252,candidate
DEC023_UNSTRUCTURED_ONLY,train_kb,conservative_noisy_or_conflict_adjusted,3,NeoTech Headphones Plus 2,has_battery_life_hours,18,neotech headphones plus 2|has_battery_life_hours|18,2,"[0.9, 0.9]",True,0,0.894375,0.894375,0.88,True,0.675,True,False,"[""product_2"", ""product_2""]","[""unstructured"", ""unstructured""]","[""NeoTech Headphones Plus 2 is manufactured by NeoTech. It is a headphones device. Comes with 16GB of RAM. Offers 64GB of internal storage. Battery lasts up to 18 hours. Built with plastic construction. Targeted at the APAC market."", ""NeoTech Headphones Plus 2 is manufactured by NeoTech. It is a headphones device. Comes with 16GB of RAM. Offers 64GB of internal storage. Battery lasts up to 18 hours. Built with plastic construction. Targeted at the APAC market.""]",1,252,candidate
