experiment_id,run_id,prob_kb_version,subject,predicate,object,triple_key,observation_confidence,source_id,source_type,provenance,extractor_version,iteration
DEC023_NO_PROBKB,train_kb,deterministic_max_merge,It is a tablet device,belongs_to_category,tablet device,it is a tablet device|belongs_to_category|tablet device,0.85,product_1,unstructured,It is a tablet device. Priced at 899 USD. Comes with 8GB of RAM. Battery lasts up to 10 hours. Weighs approximately 0.18kg. Available in green. Targeted at the EU market.,unstructured,4
DEC023_NO_PROBKB,train_kb,deterministic_max_merge,It is a tablet device,target_market_region,EU market,it is a tablet device|target_market_region|eu market,0.85,product_1,unstructured,It is a tablet device. Priced at 899 USD. Comes with 8GB of RAM. Battery lasts up to 10 hours. Weighs approximately 0.18kg. Available in green. Targeted at the EU market.,unstructured,4
DEC023_NO_PROBKB,train_kb,deterministic_max_merge,It is a tablet device,has_battery_life_hours,10,it is a tablet device|has_battery_life_hours|10,0.85,product_1,unstructured,It is a tablet device. Priced at 899 USD. Comes with 8GB of RAM. Battery lasts up to 10 hours. Weighs approximately 0.18kg. Available in green. Targeted at the EU market.,unstructured,4
DEC023_NO_PROBKB,train_kb,deterministic_max_merge,It is a tablet device,has_weight_kg,0.18,it is a tablet device|has_weight_kg|0.18,0.85,product_1,unstructured,It is a tablet device. Priced at 899 USD. Comes with 8GB of RAM. Battery lasts up to 10 hours. Weighs approximately 0.18kg. Available in green. Targeted at the EU market.,unstructured,4
DEC023_NO_PROBKB,train_kb,deterministic_max_merge,It is a tablet device,has_color,green,it is a tablet device|has_color|green,0.85,product_1,unstructured,It is a tablet device. Priced at 899 USD. Comes with 8GB of RAM. Battery lasts up to 10 hours. Weighs approximately 0.18kg. Available in green. Targeted at the EU market.,unstructured,4
DEC023_NO_PROBKB,train_kb,deterministic_max_merge,It is a tablet device,has_ram_gb,8,it is a tablet device|has_ram_gb|8,0.91,product_1,unstructured,It is a tablet device. Priced at 899 USD. Comes with 8GB of RAM. Battery lasts up to 10 hours. Weighs approximately 0.18kg. Available in green. Targeted at the EU market.,unstructured,4
DEC023_NO_PROBKB,train_kb,deterministic_max_merge,It is a tablet device,has_price_usd,899,it is a tablet device|has_price_usd|899,0.91,product_1,unstructured,It is a tablet device. Priced at 899 USD. Comes with 8GB of RAM. Battery lasts up to 10 hours. Weighs approximately 0.18kg. Available in green. Targeted at the EU market.,unstructured,4
DEC023_NO_PROBKB,train_kb,deterministic_max_merge,Auralex Headphones Pro 44,has_price_usd,1299,auralex headphones pro 44|has_price_usd|1299,0.91,product_8,unstructured,It is a headphones device. Priced at 1299 USD. Comes with 8GB of RAM. Battery lasts up to 8 hours. Weighs approximately 1.45kg. Available in black. Fast charging is yes.,unstructured,4
DEC023_NO_PROBKB,train_kb,deterministic_max_merge,Auralex Headphones Pro 44,has_ram_gb,8,auralex headphones pro 44|has_ram_gb|8,0.91,product_8,unstructured,It is a headphones device. Priced at 1299 USD. Comes with 8GB of RAM. Battery lasts up to 8 hours. Weighs approximately 1.45kg. Available in black. Fast charging is yes.,unstructured,4
DEC023_NO_PROBKB,train_kb,deterministic_max_merge,Auralex Headphones Pro 44,has_battery_life_hours,8,auralex headphones pro 44|has_battery_life_hours|8,0.91,product_8,unstructured,It is a headphones device. Priced at 1299 USD. Comes with 8GB of RAM. Battery lasts up to 8 hours. Weighs approximately 1.45kg. Available in black. Fast charging is yes.,unstructured,4
