triple_key,subject,predicate,object,split,functional_predicate,competitor_count,gold_label,R1_max_merge,R2_published,R3_source_count,R4_evidence_share,R5_combined,R6_evidence_share_unsquared,R1_max_merge_admitted_at_test_tau,R2_published_admitted_at_test_tau,R3_source_count_admitted_at_test_tau,R4_evidence_share_admitted_at_test_tau,R5_combined_admitted_at_test_tau,R6_evidence_share_unsquared_admitted_at_test_tau
auralex smartphone max 1|manufactured_by|auralex,Auralex Smartphone Max 1,manufactured_by,Auralex,test,True,0,1,0.98,0.9972159361376952,0.9238124999999999,0.9972159361376952,0.9238124999999999,1.0,True,True,True,True,True,True
auralex smartphone max 1|belongs_to_category|smartphone,Auralex Smartphone Max 1,belongs_to_category,smartphone,test,True,1,1,0.98,0.3675,0.3675,0.31806796781951857,0.38111111111111107,0.43274553444832464,True,False,False,False,False,False
auralex smartphone max 1|has_price_usd|249,Auralex Smartphone Max 1,has_price_usd,249,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
auralex smartphone max 1|has_screen_size_inch|14.0,Auralex Smartphone Max 1,has_screen_size_inch,14.0,test,True,0,1,0.98,0.9972159361376952,0.9238124999999999,0.9972159361376952,0.9238124999999999,1.0,True,True,True,True,True,True
auralex smartphone max 1|has_ram_gb|32,Auralex Smartphone Max 1,has_ram_gb,32,test,True,1,1,0.98,0.4956156474609375,0.46190624999999996,0.5870353759970529,0.5312973254931713,0.592228452637102,True,False,False,False,False,True
auralex smartphone max 1|has_storage_gb|1024,Auralex Smartphone Max 1,has_storage_gb,1024,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
auralex smartphone max 1|has_battery_life_hours|8,Auralex Smartphone Max 1,has_battery_life_hours,8,test,True,1,0,0.98,0.3675,0.3675,0.33349152150008676,0.38111111111111107,0.45372996122460785,True,False,False,False,False,False
auralex smartphone max 1|has_weight_kg|1.2,Auralex Smartphone Max 1,has_weight_kg,1.2,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
auralex smartphone max 1|has_color|blue,Auralex Smartphone Max 1,has_color,blue,test,False,0,0,0.98,0.735,0.735,0.735,0.735,0.735,True,True,True,True,True,True
auralex smartphone max 1|made_of_material|aluminum,Auralex Smartphone Max 1,made_of_material,aluminum,test,True,0,1,0.98,0.97581046875,0.9238124999999999,0.97581046875,0.9238124999999999,1.0,True,True,True,True,True,True
auralex smartphone max 1|target_market_region|us,Auralex Smartphone Max 1,target_market_region,US,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
auralex smartphone max 1|supports_fast_charging|no,Auralex Smartphone Max 1,supports_fast_charging,no,test,True,0,1,0.98,0.9972159361376952,0.9238124999999999,0.9972159361376952,0.9238124999999999,1.0,True,True,True,True,True,True
auralex smartphone max 1|has_noise_cancellation|no,Auralex Smartphone Max 1,has_noise_cancellation,no,test,True,0,1,0.98,0.9972159361376952,0.9238124999999999,0.9972159361376952,0.9238124999999999,1.0,True,True,True,True,True,True
technova laptop air 2|manufactured_by|technova,TechNova Laptop Air 2,manufactured_by,TechNova,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
technova laptop air 2|belongs_to_category|laptop,TechNova Laptop Air 2,belongs_to_category,laptop,test,True,0,1,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
technova laptop air 2|has_price_usd|499,TechNova Laptop Air 2,has_price_usd,499,test,True,0,1,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
technova laptop air 2|has_screen_size_inch|15.6,TechNova Laptop Air 2,has_screen_size_inch,15.6,test,True,0,1,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
technova laptop air 2|has_ram_gb|4,TechNova Laptop Air 2,has_ram_gb,4,test,True,0,1,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
technova laptop air 2|has_storage_gb|128,TechNova Laptop Air 2,has_storage_gb,128,test,True,0,1,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
technova laptop air 2|has_battery_life_hours|20,TechNova Laptop Air 2,has_battery_life_hours,20,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
technova laptop air 2|has_weight_kg|0.55,TechNova Laptop Air 2,has_weight_kg,0.55,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
technova laptop air 2|has_color|green,TechNova Laptop Air 2,has_color,green,test,False,0,1,0.98,0.735,0.735,0.735,0.735,0.735,True,True,True,True,True,True
technova laptop air 2|made_of_material|plastic,TechNova Laptop Air 2,made_of_material,plastic,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
technova laptop air 2|target_market_region|us,TechNova Laptop Air 2,target_market_region,US,test,True,0,1,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
technova laptop air 2|supports_fast_charging|no,TechNova Laptop Air 2,supports_fast_charging,no,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
technova laptop air 2|has_noise_cancellation|no,TechNova Laptop Air 2,has_noise_cancellation,no,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
neotech smartphone pro 3|manufactured_by|neotech,NeoTech Smartphone Pro 3,manufactured_by,NeoTech,test,True,0,1,0.98,0.9039375,0.9039375,0.9039375,0.9039375,1.0,True,True,True,True,True,True
neotech smartphone pro 3|belongs_to_category|smartphone,NeoTech Smartphone Pro 3,belongs_to_category,smartphone,test,True,1,1,0.98,0.3675,0.3675,0.39360655737704914,0.39360655737704914,0.53551912568306,True,False,False,False,False,False
neotech smartphone pro 3|has_price_usd|1099,NeoTech Smartphone Pro 3,has_price_usd,1099,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
neotech smartphone pro 3|has_screen_size_inch|13.3,NeoTech Smartphone Pro 3,has_screen_size_inch,13.3,test,True,0,1,0.98,0.9039375,0.9039375,0.9039375,0.9039375,1.0,True,True,True,True,True,True
neotech smartphone pro 3|has_ram_gb|4,NeoTech Smartphone Pro 3,has_ram_gb,4,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
neotech smartphone pro 3|has_storage_gb|512,NeoTech Smartphone Pro 3,has_storage_gb,512,test,True,0,1,0.98,0.9039375,0.9039375,0.9039375,0.9039375,1.0,True,True,True,True,True,True
neotech smartphone pro 3|has_battery_life_hours|8,NeoTech Smartphone Pro 3,has_battery_life_hours,8,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
neotech smartphone pro 3|has_weight_kg|1.2,NeoTech Smartphone Pro 3,has_weight_kg,1.2,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
neotech smartphone pro 3|has_color|blue,NeoTech Smartphone Pro 3,has_color,blue,test,False,0,0,0.98,0.735,0.735,0.735,0.735,0.735,True,True,True,True,True,True
neotech smartphone pro 3|made_of_material|carbon fiber,NeoTech Smartphone Pro 3,made_of_material,carbon fiber,test,True,0,1,0.98,0.9039375,0.9039375,0.9039375,0.9039375,1.0,True,True,True,True,True,True
neotech smartphone pro 3|target_market_region|apac,NeoTech Smartphone Pro 3,target_market_region,APAC,test,True,1,1,0.98,0.3675,0.3675,0.39360655737704914,0.39360655737704914,0.53551912568306,True,False,False,False,False,False
neotech smartphone pro 3|supports_fast_charging|no,NeoTech Smartphone Pro 3,supports_fast_charging,no,test,True,0,1,0.98,0.9039375,0.9039375,0.9039375,0.9039375,1.0,True,True,True,True,True,True
neotech smartphone pro 3|has_noise_cancellation|no,NeoTech Smartphone Pro 3,has_noise_cancellation,no,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
neotech laptop air 4|manufactured_by|neotech,NeoTech Laptop Air 4,manufactured_by,NeoTech,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
neotech laptop air 4|belongs_to_category|laptop,NeoTech Laptop Air 4,belongs_to_category,laptop,test,True,0,1,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
neotech laptop air 4|has_price_usd|499,NeoTech Laptop Air 4,has_price_usd,499,test,True,0,1,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
neotech laptop air 4|has_screen_size_inch|11.0,NeoTech Laptop Air 4,has_screen_size_inch,11.0,test,True,0,1,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
neotech laptop air 4|has_ram_gb|32,NeoTech Laptop Air 4,has_ram_gb,32,test,True,0,1,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
neotech laptop air 4|has_storage_gb|256,NeoTech Laptop Air 4,has_storage_gb,256,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
neotech laptop air 4|has_battery_life_hours|10,NeoTech Laptop Air 4,has_battery_life_hours,10,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
neotech laptop air 4|has_weight_kg|0.42,NeoTech Laptop Air 4,has_weight_kg,0.42,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
neotech laptop air 4|has_color|black,NeoTech Laptop Air 4,has_color,black,test,False,0,0,0.98,0.735,0.735,0.735,0.735,0.735,True,True,True,True,True,True
neotech laptop air 4|made_of_material|aluminum,NeoTech Laptop Air 4,made_of_material,aluminum,test,True,0,1,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
neotech laptop air 4|target_market_region|eu,NeoTech Laptop Air 4,target_market_region,EU,test,True,0,1,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
neotech laptop air 4|supports_fast_charging|no,NeoTech Laptop Air 4,supports_fast_charging,no,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
neotech laptop air 4|has_noise_cancellation|no,NeoTech Laptop Air 4,has_noise_cancellation,no,test,True,0,1,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
laptop device|has_price_usd|499,laptop device,has_price_usd,499,val,True,3,0,0.91,0.2499846311036783,0.24199850390625,0.25749608624088066,0.2714984276533711,0.25751191693669256,False,False,False,False,False,False
laptop device|has_screen_size_inch|11.0,laptop device,has_screen_size_inch,11.0,val,True,4,0,0.92,0.19773437953125,0.138,0.19854887882391323,0.13062064353507036,0.20082383174296153,False,False,False,False,False,False
laptop device|has_ram_gb|32,laptop device,has_ram_gb,32,val,True,4,0,0.91,0.199873768397625,0.17983875,0.2062222310001106,0.19827683801215706,0.20635247201609377,False,False,False,False,False,False
laptop device|made_of_material|aluminum,laptop device,made_of_material,aluminum,val,True,3,0,0.91,0.246259453125,0.224203125,0.32155338303810743,0.2745602117070985,0.32643760367128793,False,False,False,False,False,False
laptop device|target_market_region|eu,laptop device,target_market_region,EU,val,True,6,0,0.91,0.1267553571428571,0.0975,0.1225054504837846,0.08437239751055067,0.13806736878834042,False,False,False,False,False,False
laptop device|has_noise_cancellation|no,laptop device,has_noise_cancellation,no,val,True,0,0,1.0,0.9999999999105756,0.9997439042410469,0.9999999999105756,0.9997439042410469,1.0,True,True,True,True,True,True
voltedge tablet lite 5|manufactured_by|voltedge,VoltEdge Tablet Lite 5,manufactured_by,VoltEdge,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
voltedge tablet lite 5|belongs_to_category|tablet,VoltEdge Tablet Lite 5,belongs_to_category,tablet,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
voltedge tablet lite 5|has_price_usd|199,VoltEdge Tablet Lite 5,has_price_usd,199,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
voltedge tablet lite 5|has_screen_size_inch|6.7,VoltEdge Tablet Lite 5,has_screen_size_inch,6.7,test,True,0,1,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
voltedge tablet lite 5|has_ram_gb|4,VoltEdge Tablet Lite 5,has_ram_gb,4,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
voltedge tablet lite 5|has_storage_gb|256,VoltEdge Tablet Lite 5,has_storage_gb,256,test,True,0,1,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
voltedge tablet lite 5|has_battery_life_hours|14,VoltEdge Tablet Lite 5,has_battery_life_hours,14,test,True,0,1,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
voltedge tablet lite 5|has_weight_kg|0.42,VoltEdge Tablet Lite 5,has_weight_kg,0.42,test,True,0,1,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
voltedge tablet lite 5|has_color|blue,VoltEdge Tablet Lite 5,has_color,blue,test,False,0,0,0.98,0.735,0.735,0.735,0.735,0.735,True,True,True,True,True,True
voltedge tablet lite 5|made_of_material|carbon fiber,VoltEdge Tablet Lite 5,made_of_material,carbon fiber,test,True,0,1,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
voltedge tablet lite 5|target_market_region|us,VoltEdge Tablet Lite 5,target_market_region,US,test,True,0,1,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
voltedge tablet lite 5|supports_fast_charging|yes,VoltEdge Tablet Lite 5,supports_fast_charging,yes,test,True,0,0,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
voltedge tablet lite 5|has_noise_cancellation|no,VoltEdge Tablet Lite 5,has_noise_cancellation,no,test,True,0,1,0.98,0.735,0.735,0.735,0.735,1.0,True,True,True,True,True,True
