config,seed,final_iter_f1,held_out_test_f1,n_calls,n_errors,cost_usd
full,54,0.5,0.5040650406504066,155,1,0.003358792999999999
full,55,0.4814814814814815,0.3689320388349514,155,6,0.0028970199999999997
full,56,0.42786069651741293,0.8,155,8,0.003173723999999998
full,57,0.324468085106383,0.5040650406504066,155,13,0.002838001999999998
full,58,0.21787709497206703,0.11764705882352941,155,17,0.0027353979999999983
full,59,0.44680851063829785,0.32786885245901637,155,11,0.0031920700000000013
full,67,0.5024875621890547,0.4285714285714286,155,3,0.003463722999999999
full,68,0.354916067146283,0.11764705882352938,155,12,0.0032553500000000015
full,69,0.4887780548628429,0.44067796610169496,155,8,0.003427422
full,70,0.3313953488372093,0.2429906542056075,155,11,0.003107311000000001
full,71,0.4444444444444445,0.29565217391304344,155,14,0.0031532150000000004
