experiment_id,run_id,prob_kb_version,iteration,subject,predicate,object,triple_key,observation_count,observation_confidences,functional_predicate,competitor_count,conservative_noisy_or_support,conflict_adjusted_final_confidence,threshold,above_threshold,previous_final_confidence,crossed_threshold_up,crossed_threshold_down,source_ids,source_types,provenance,gold_label,kb_size,status
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,PixelWare Smartwatch Lite 1,manufactured_by,PixelWare,pixelware smartwatch lite 1|manufactured_by|pixelware,2,"[0.98, 0.92]",True,0,0.91785,0.91785,0.88,True,,True,False,"[""product_1"", ""product_1""]","[""structured"", ""unstructured""]","[""structured_row:PixelWare Smartwatch Lite 1"", ""PixelWare Smartwatch Lite 1 is manufactured by PixelWare. It is a smartwatch device. Priced at 699 USD. Comes with 16GB of RAM. Weighs approximately 0.18kg. Available in black. Targeted at the Global market.""]",1,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,PixelWare Smartwatch Lite 1,belongs_to_category,smartwatch,pixelware smartwatch lite 1|belongs_to_category|smartwatch,1,[0.98],True,0,0.735,0.735,0.88,False,,False,False,"[""product_1""]","[""structured""]","[""structured_row:PixelWare Smartwatch Lite 1""]",1,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,PixelWare Smartwatch Lite 1,has_price_usd,699,pixelware smartwatch lite 1|has_price_usd|699,2,"[0.98, 0.95]",True,0,0.9238124999999999,0.9238124999999999,0.88,True,,True,False,"[""product_1"", ""product_1""]","[""structured"", ""unstructured""]","[""structured_row:PixelWare Smartwatch Lite 1"", ""PixelWare Smartwatch Lite 1 is manufactured by PixelWare. It is a smartwatch device. Priced at 699 USD. Comes with 16GB of RAM. Weighs approximately 0.18kg. Available in black. Targeted at the Global market.""]",1,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,PixelWare Smartwatch Lite 1,has_screen_size_inch,6.7,pixelware smartwatch lite 1|has_screen_size_inch|6.7,1,[0.98],True,0,0.735,0.735,0.88,False,,False,False,"[""product_1""]","[""structured""]","[""structured_row:PixelWare Smartwatch Lite 1""]",0,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,PixelWare Smartwatch Lite 1,has_ram_gb,16,pixelware smartwatch lite 1|has_ram_gb|16,2,"[0.98, 0.9]",True,0,0.913875,0.913875,0.88,True,,True,False,"[""product_1"", ""product_1""]","[""structured"", ""unstructured""]","[""structured_row:PixelWare Smartwatch Lite 1"", ""PixelWare Smartwatch Lite 1 is manufactured by PixelWare. It is a smartwatch device. Priced at 699 USD. Comes with 16GB of RAM. Weighs approximately 0.18kg. Available in black. Targeted at the Global market.""]",1,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,PixelWare Smartwatch Lite 1,has_storage_gb,128,pixelware smartwatch lite 1|has_storage_gb|128,1,[0.98],True,0,0.735,0.735,0.88,False,,False,False,"[""product_1""]","[""structured""]","[""structured_row:PixelWare Smartwatch Lite 1""]",0,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,PixelWare Smartwatch Lite 1,has_battery_life_hours,10,pixelware smartwatch lite 1|has_battery_life_hours|10,1,[0.98],True,0,0.735,0.735,0.88,False,,False,False,"[""product_1""]","[""structured""]","[""structured_row:PixelWare Smartwatch Lite 1""]",0,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,PixelWare Smartwatch Lite 1,has_weight_kg,0.18,pixelware smartwatch lite 1|has_weight_kg|0.18,2,"[0.98, 0.88]",True,0,0.9099,0.9099,0.88,True,,True,False,"[""product_1"", ""product_1""]","[""structured"", ""unstructured""]","[""structured_row:PixelWare Smartwatch Lite 1"", ""PixelWare Smartwatch Lite 1 is manufactured by PixelWare. It is a smartwatch device. Priced at 699 USD. Comes with 16GB of RAM. Weighs approximately 0.18kg. Available in black. Targeted at the Global market.""]",1,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,PixelWare Smartwatch Lite 1,has_color,black,pixelware smartwatch lite 1|has_color|black,2,"[0.98, 0.85]",False,0,0.9039375,0.9039375,0.88,True,,True,False,"[""product_1"", ""product_1""]","[""structured"", ""unstructured""]","[""structured_row:PixelWare Smartwatch Lite 1"", ""PixelWare Smartwatch Lite 1 is manufactured by PixelWare. It is a smartwatch device. Priced at 699 USD. Comes with 16GB of RAM. Weighs approximately 0.18kg. Available in black. Targeted at the Global market.""]",1,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,PixelWare Smartwatch Lite 1,made_of_material,aluminum,pixelware smartwatch lite 1|made_of_material|aluminum,1,[0.98],True,0,0.735,0.735,0.88,False,,False,False,"[""product_1""]","[""structured""]","[""structured_row:PixelWare Smartwatch Lite 1""]",0,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,PixelWare Smartwatch Lite 1,target_market_region,Global,pixelware smartwatch lite 1|target_market_region|global,2,"[0.98, 0.84]",True,0,0.90195,0.90195,0.88,True,,True,False,"[""product_1"", ""product_1""]","[""structured"", ""unstructured""]","[""structured_row:PixelWare Smartwatch Lite 1"", ""PixelWare Smartwatch Lite 1 is manufactured by PixelWare. It is a smartwatch device. Priced at 699 USD. Comes with 16GB of RAM. Weighs approximately 0.18kg. Available in black. Targeted at the Global market.""]",1,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,PixelWare Smartwatch Lite 1,supports_fast_charging,no,pixelware smartwatch lite 1|supports_fast_charging|no,1,[0.98],True,0,0.735,0.735,0.88,False,,False,False,"[""product_1""]","[""structured""]","[""structured_row:PixelWare Smartwatch Lite 1""]",0,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,PixelWare Smartwatch Lite 1,has_noise_cancellation,no,pixelware smartwatch lite 1|has_noise_cancellation|no,1,[0.98],True,0,0.735,0.735,0.88,False,,False,False,"[""product_1""]","[""structured""]","[""structured_row:PixelWare Smartwatch Lite 1""]",0,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,NeoTech Smartphone Max 2,manufactured_by,NeoTech,neotech smartphone max 2|manufactured_by|neotech,2,"[0.98, 0.85]",True,0,0.9039375,0.9039375,0.88,True,,True,False,"[""product_2"", ""product_2""]","[""structured"", ""unstructured""]","[""structured_row:NeoTech Smartphone Max 2"", ""NeoTech Smartphone Max 2 is manufactured by NeoTech. Comes with 16GB of RAM. Offers 512GB of internal storage. Battery lasts up to 18 hours. Weighs approximately 0.18kg. Fast charging is no. Noise cancellation: no.""]",1,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,NeoTech Smartphone Max 2,belongs_to_category,smartphone,neotech smartphone max 2|belongs_to_category|smartphone,1,[0.98],True,0,0.735,0.735,0.88,False,,False,False,"[""product_2""]","[""structured""]","[""structured_row:NeoTech Smartphone Max 2""]",0,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,NeoTech Smartphone Max 2,has_price_usd,249,neotech smartphone max 2|has_price_usd|249,1,[0.98],True,0,0.735,0.735,0.88,False,,False,False,"[""product_2""]","[""structured""]","[""structured_row:NeoTech Smartphone Max 2""]",0,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,NeoTech Smartphone Max 2,has_screen_size_inch,10.9,neotech smartphone max 2|has_screen_size_inch|10.9,1,[0.98],True,0,0.735,0.735,0.88,False,,False,False,"[""product_2""]","[""structured""]","[""structured_row:NeoTech Smartphone Max 2""]",0,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,NeoTech Smartphone Max 2,has_ram_gb,16,neotech smartphone max 2|has_ram_gb|16,2,"[0.98, 0.92]",True,0,0.91785,0.91785,0.88,True,,True,False,"[""product_2"", ""product_2""]","[""structured"", ""unstructured""]","[""structured_row:NeoTech Smartphone Max 2"", ""NeoTech Smartphone Max 2 is manufactured by NeoTech. Comes with 16GB of RAM. Offers 512GB of internal storage. Battery lasts up to 18 hours. Weighs approximately 0.18kg. Fast charging is no. Noise cancellation: no.""]",1,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,NeoTech Smartphone Max 2,has_storage_gb,512,neotech smartphone max 2|has_storage_gb|512,2,"[0.98, 0.88]",True,0,0.9099,0.9099,0.88,True,,True,False,"[""product_2"", ""product_2""]","[""structured"", ""unstructured""]","[""structured_row:NeoTech Smartphone Max 2"", ""NeoTech Smartphone Max 2 is manufactured by NeoTech. Comes with 16GB of RAM. Offers 512GB of internal storage. Battery lasts up to 18 hours. Weighs approximately 0.18kg. Fast charging is no. Noise cancellation: no.""]",1,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,NeoTech Smartphone Max 2,has_battery_life_hours,18,neotech smartphone max 2|has_battery_life_hours|18,2,"[0.98, 0.86]",True,0,0.905925,0.905925,0.88,True,,True,False,"[""product_2"", ""product_2""]","[""structured"", ""unstructured""]","[""structured_row:NeoTech Smartphone Max 2"", ""NeoTech Smartphone Max 2 is manufactured by NeoTech. Comes with 16GB of RAM. Offers 512GB of internal storage. Battery lasts up to 18 hours. Weighs approximately 0.18kg. Fast charging is no. Noise cancellation: no.""]",1,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,NeoTech Smartphone Max 2,has_weight_kg,0.18,neotech smartphone max 2|has_weight_kg|0.18,2,"[0.98, 0.89]",True,0,0.9118875,0.9118875,0.88,True,,True,False,"[""product_2"", ""product_2""]","[""structured"", ""unstructured""]","[""structured_row:NeoTech Smartphone Max 2"", ""NeoTech Smartphone Max 2 is manufactured by NeoTech. Comes with 16GB of RAM. Offers 512GB of internal storage. Battery lasts up to 18 hours. Weighs approximately 0.18kg. Fast charging is no. Noise cancellation: no.""]",1,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,NeoTech Smartphone Max 2,has_color,green,neotech smartphone max 2|has_color|green,1,[0.98],False,0,0.735,0.735,0.88,False,,False,False,"[""product_2""]","[""structured""]","[""structured_row:NeoTech Smartphone Max 2""]",0,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,NeoTech Smartphone Max 2,made_of_material,carbon fiber,neotech smartphone max 2|made_of_material|carbon fiber,1,[0.98],True,0,0.735,0.735,0.88,False,,False,False,"[""product_2""]","[""structured""]","[""structured_row:NeoTech Smartphone Max 2""]",0,499,candidate
DEC029_NO_FEEDBACK,train_kb,conservative_noisy_or_conflict_adjusted,1,NeoTech Smartphone Max 2,target_market_region,US,neotech smartphone max 2|target_market_region|us,1,[0.98],True,0,0.735,0.735,0.88,False,,False,False,"[""product_2""]","[""structured""]","[""structured_row:NeoTech Smartphone Max 2""]",0,499,candidate
