shard 0/3: 282 docs, 2281 sentences, 0 already done, 2281 to run
  50/2281 calls, $0.0010 this session
  100/2281 calls, $0.0025 this session
  150/2281 calls, $0.0040 this session
  200/2281 calls, $0.0057 this session
  250/2281 calls, $0.0073 this session
  300/2281 calls, $0.0088 this session
  350/2281 calls, $0.0105 this session
  400/2281 calls, $0.0119 this session
  450/2281 calls, $0.0135 this session
  500/2281 calls, $0.0150 this session
  550/2281 calls, $0.0166 this session
  600/2281 calls, $0.0182 this session
  650/2281 calls, $0.0198 this session
  700/2281 calls, $0.0213 this session
  750/2281 calls, $0.0228 this session
  800/2281 calls, $0.0243 this session
  850/2281 calls, $0.0259 this session
  900/2281 calls, $0.0275 this session
  950/2281 calls, $0.0290 this session
  1000/2281 calls, $0.0310 this session
  1050/2281 calls, $0.0324 this session
  1100/2281 calls, $0.0338 this session
  1150/2281 calls, $0.0355 this session
  1200/2281 calls, $0.0373 this session
  1250/2281 calls, $0.0390 this session
  1300/2281 calls, $0.0408 this session
  1350/2281 calls, $0.0424 this session
  1400/2281 calls, $0.0440 this session
  1450/2281 calls, $0.0456 this session
  1500/2281 calls, $0.0472 this session
  1550/2281 calls, $0.0487 this session
  1600/2281 calls, $0.0503 this session
  1650/2281 calls, $0.0520 this session
  1700/2281 calls, $0.0536 this session
  1750/2281 calls, $0.0552 this session
  1800/2281 calls, $0.0569 this session
  1850/2281 calls, $0.0583 this session
  1900/2281 calls, $0.0598 this session
  1950/2281 calls, $0.0613 this session
  2000/2281 calls, $0.0629 this session
  2050/2281 calls, $0.0645 this session
  2100/2281 calls, $0.0660 this session
  2150/2281 calls, $0.0676 this session
  2200/2281 calls, $0.0692 this session
  2250/2281 calls, $0.0707 this session
  2281/2281 calls, $0.0718 this session
DONE shard 0: $0.071765 this session
