deepseek/sentence shard 0/3: 167 docs, 0 calls already done, 1843 to run
  50/1843 calls, $0.0039 this session
  100/1843 calls, $0.0079 this session
  150/1843 calls, $0.0119 this session
  200/1843 calls, $0.0162 this session
  250/1843 calls, $0.0205 this session
  300/1843 calls, $0.0249 this session
  350/1843 calls, $0.0290 this session
  400/1843 calls, $0.0329 this session
  450/1843 calls, $0.0372 this session
  500/1843 calls, $0.0411 this session
  550/1843 calls, $0.0453 this session
  600/1843 calls, $0.0495 this session
  650/1843 calls, $0.0532 this session
  700/1843 calls, $0.0570 this session
  750/1843 calls, $0.0613 this session
  800/1843 calls, $0.0649 this session
  850/1843 calls, $0.0691 this session
  900/1843 calls, $0.0735 this session
  950/1843 calls, $0.0784 this session
  1000/1843 calls, $0.0830 this session
  1050/1843 calls, $0.0868 this session
  1100/1843 calls, $0.0909 this session
  1150/1843 calls, $0.0952 this session
  1200/1843 calls, $0.0992 this session
  1250/1843 calls, $0.1036 this session
  1300/1843 calls, $0.1071 this session
  1350/1843 calls, $0.1108 this session
  1400/1843 calls, $0.1152 this session
  1450/1843 calls, $0.1191 this session
  1500/1843 calls, $0.1231 this session
  1550/1843 calls, $0.1267 this session
  1600/1843 calls, $0.1304 this session
  1650/1843 calls, $0.1341 this session
  1700/1843 calls, $0.1377 this session
  1750/1843 calls, $0.1419 this session
  1800/1843 calls, $0.1458 this session
  1843/1843 calls, $0.1496 this session
DONE deepseek/sentence shard 0: $0.149590 this session
deepseek/sentence shard 0/3: 167 docs, 1843 calls already done, 0 to run
DONE deepseek/sentence shard 0: $0.000000 this session
