llama/sentence shard 2/3: 166 docs, 0 calls already done, 1846 to run
  50/1846 calls, $0.0007 this session
llama/sentence shard 2/3: 166 docs, 74 calls already done, 1772 to run
  50/1772 calls, $0.0006 this session
  100/1772 calls, $0.0013 this session
  150/1772 calls, $0.0021 this session
  200/1772 calls, $0.0029 this session
  250/1772 calls, $0.0035 this session
  300/1772 calls, $0.0048 this session
  350/1772 calls, $0.0056 this session
  400/1772 calls, $0.0062 this session
  450/1772 calls, $0.0071 this session
  500/1772 calls, $0.0079 this session
  550/1772 calls, $0.0091 this session
  600/1772 calls, $0.0103 this session
  650/1772 calls, $0.0112 this session
  700/1772 calls, $0.0119 this session
  750/1772 calls, $0.0126 this session
  800/1772 calls, $0.0133 this session
  850/1772 calls, $0.0142 this session
  900/1772 calls, $0.0148 this session
  950/1772 calls, $0.0156 this session
  1000/1772 calls, $0.0164 this session
  1050/1772 calls, $0.0173 this session
  1100/1772 calls, $0.0180 this session
  1150/1772 calls, $0.0186 this session
  1200/1772 calls, $0.0193 this session
  1250/1772 calls, $0.0201 this session
  1300/1772 calls, $0.0208 this session
  1350/1772 calls, $0.0215 this session
  1400/1772 calls, $0.0225 this session
  1450/1772 calls, $0.0233 this session
  1500/1772 calls, $0.0244 this session
  1550/1772 calls, $0.0251 this session
  1600/1772 calls, $0.0258 this session
llama/sentence shard 2/3: 166 docs, 1712 calls already done, 134 to run
  50/134 calls, $0.0007 this session
  100/134 calls, $0.0015 this session
  134/134 calls, $0.0021 this session
DONE llama/sentence shard 2: $0.002054 this session
